#id x y vol
63, 1.05e+02, 1.22e+01, 5.28e-01
64, 8.40e+01, 5.63e+00, 5.37e-01
65, 5.89e+01, 1.35e+01, 4.78e-01
66, 1.29e+02, 3.08e+00, 5.15e-01
67, 1.06e+02, 1.37e+01, 5.13e-01
68, 1.33e+02, 1.85e+01, 4.37e-01
69, 8.72e+01, 6.46e+00, 4.45e-01
70, 1.55e+01, 2.08e+00, 5.24e-01
71, 9.60e+01, 1.39e+01, 4.34e-01
72, 7.26e+01, 1.36e+01, 4.56e-01
73, 6.69e+01, 1.38e+01, 4.64e-01
74, 5.39e+01, 1.36e+01, 4.96e-01
75, 6.32e+01, 1.26e+01, 4.86e-01
76, 8.68e+01, 6.10e+00, 5.01e-01
77, 1.39e+02, 1.19e+00, 4.58e-01
78, 1.08e+02, 1.23e+01, 4.38e-01
79, 4.55e+01, 1.28e+01, 5.19e-01
80, 1.33e+02, 1.89e+01, 4.38e-01
81, 1.37e+02, 1.47e+00, 4.67e-01
82, 5.92e+01, 1.39e+01, 4.73e-01
83, 1.47e+00, 1.81e+01, 4.57e-01
84, 8.36e+01, 1.29e+01, 5.32e-01
85, 1.09e+02, 1.46e+01, 4.24e-01
86, 6.37e+01, 1.30e+01, 5.20e-01
87, 5.01e+01, 6.16e+00, 4.64e-01
88, 3.10e+01, 1.49e+01, 5.14e-01
89, 6.62e+01, 6.47e+00, 4.44e-01
90, 1.05e+02, 1.12e+01, 4.42e-01
91, 1.10e+02, 1.48e+01, 5.21e-01
92, 1.10e+02, 1.45e+01, 5.18e-01
93, 7.51e+01, 1.39e+01, 3.87e-01
94, 1.05e+02, 1.27e+01, 5.48e-01
95, 9.30e+01, 7.39e+00, 4.55e-01
96, 1.45e+02, 3.59e+00, 5.29e-01
97, 7.99e+01, 1.35e+01, 5.00e-01
98, 1.10e+01, 6.99e-01, 5.46e-01
99, 1.20e+01, 6.78e-01, 5.00e-01
100, 4.49e+01, 1.38e+01, 5.78e-01
101, 6.27e+01, 1.29e+01, 4.53e-01
102, 1.48e+02, 1.30e+01, 5.07e-01
103, 1.06e+02, 1.14e+01, 5.62e-01
104, 1.00e+02, 8.84e+00, 5.24e-01
105, 6.58e+01, 6.12e+00, 4.57e-01
106, 1.05e+02, 1.10e+01, 5.10e-01
107, 4.36e+01, 1.37e+01, 4.28e-01
108, 1.14e+02, 1.54e+01, 4.79e-01
109, 1.14e+02, 1.56e+01, 4.76e-01
110, 1.15e+02, 1.58e+01, 4.78e-01
111, 5.08e+00, 1.09e+00, 4.57e-01
112, 1.15e+02, 1.56e+01, 4.77e-01
113, 1.13e+02, 1.54e+01, 5.29e-01
114, 9.60e+01, 9.08e+00, 4.91e-01
115, 6.33e-01, 1.10e+01, 5.40e-01
116, 1.24e+02, 1.78e+01, 4.55e-01
117, 1.16e+02, 1.60e+01, 4.77e-01
118, 1.46e+02, 6.94e-01, 5.56e-01
119, 1.13e+02, 1.52e+01, 4.95e-01
120, 1.16e+02, 1.58e+01, 4.75e-01
121, 1.17e+02, 1.62e+01, 4.75e-01
122, 1.22e+02, 2.92e+00, 3.75e-01
123, 1.17e+02, 1.60e+01, 4.74e-01
124, 1.19e+02, 1.66e+01, 4.74e-01
125, 1.19e+02, 1.64e+01, 4.73e-01
126, 1.22e+02, 1.74e+01, 4.65e-01
127, 1.04e+02, 6.19e+00, 5.07e-01
128, 1.23e+02, 1.72e+01, 4.56e-01
129, 1.20e+02, 1.70e+01, 4.72e-01
130, 4.45e+01, 1.36e+01, 3.76e-01
131, 5.69e-01, 1.20e+01, 4.05e-01
132, 1.21e+02, 1.68e+01, 4.72e-01
133, 4.61e+00, 1.35e+00, 4.67e-01
134, 1.25e+02, 1.76e+01, 4.52e-01
135, 9.36e+01, 1.36e+01, 4.58e-01
136, 1.18e+02, 1.64e+01, 4.74e-01
137, 1.18e+02, 1.62e+01, 4.73e-01
138, 1.04e+02, 5.60e+00, 5.19e-01
139, 1.43e+02, 3.44e-01, 5.17e-01
140, 4.60e+01, 1.44e+01, 4.41e-01
141, 1.01e+02, 1.35e+01, 4.32e-01
142, 7.11e+01, 6.12e+00, 4.99e-01
143, 8.02e+01, 1.39e+01, 4.75e-01
144, 1.07e+02, 1.21e+01, 4.42e-01
